gid,x,y,z,cluster,nconn,nstems,nbranch,reach,straightness,total_length,longest_path
173,-180.6,-969.9,918.6,66,10,2,8,151.9,0.4,1650.0,341.8
174,-583.0,-1120.8,200.1,40,9,2,7,155.6,0.4,1891.5,393.5
175,-530.5,-1150.0,708.8,19,12,4,8,173.7,0.4,1882.4,427.3
176,-470.1,-922.5,431.0,22,10,2,7,161.7,0.4,2513.8,399.1
177,-608.6,-1134.2,256.0,69,9,1,8,161.7,0.4,2065.5,392.0
178,-38.1,-880.0,700.7,7,9,3,6,144.1,0.3,2396.5,432.7
179,-244.3,-964.4,435.4,30,8,2,6,163.7,0.4,2010.2,422.1
180,-79.6,-859.4,352.9,54,11,2,9,133.2,0.4,1969.0,327.6
181,-520.0,-1035.1,424.0,31,10,4,6,116.9,0.3,2243.2,339.0
182,-751.2,-1172.2,263.1,6,11,2,9,207.1,0.5,3336.8,448.0
183,-48.3,-1096.0,1302.7,32,12,2,10,136.1,0.3,3397.7,414.0
184,-560.9,-1075.5,351.9,53,9,1,8,183.7,0.5,1679.9,401.0
185,-502.1,-1018.8,703.4,65,10,1,9,143.5,0.3,2037.7,415.5
186,-143.5,-865.2,237.8,48,10,2,8,180.8,0.4,2623.8,433.2
187,-258.5,-1153.3,1260.4,33,10,4,6,133.1,0.4,1952.6,339.1
188,-81.5,-774.9,536.5,68,11,2,9,165.7,0.4,2680.9,421.4
189,-522.2,-963.5,170.9,10,11,1,10,181.5,0.5,2130.1,401.2
190,-383.1,-912.0,489.5,23,8,1,7,119.6,0.3,1839.2,421.4
191,-653.3,-1140.5,587.1,16,9,1,8,154.1,0.5,1664.5,335.5
192,-204.9,-1105.3,837.8,13,10,2,8,151.6,0.4,2738.1,420.5
193,-284.9,-1084.5,1259.1,33,8,2,6,193.0,0.4,1929.8,430.7
194,-508.8,-978.0,63.3,73,8,3,4,126.2,0.4,1364.7,295.8
195,-20.8,-1080.3,1325.3,32,13,3,10,151.8,0.4,3163.4,433.1
196,-226.7,-928.3,391.6,30,9,1,8,185.9,0.4,2155.8,436.7
197,-106.1,-913.7,314.7,54,12,4,8,153.6,0.4,3179.0,411.2
198,-68.9,-1155.1,1375.3,2,9,3,5,153.0,0.4,2243.9,391.9
199,-205.5,-1023.4,1021.2,56,8,3,5,131.6,0.3,2137.9,417.4
200,-338.9,-849.7,435.6,23,9,2,7,143.4,0.3,2325.0,476.6
201,-153.3,-1124.7,1069.1,56,10,1,9,129.3,0.3,2300.5,430.4
202,-53.1,-743.6,512.0,68,10,3,7,152.4,0.4,1656.4,339.9
203,-21.0,-776.6,424.0,27,11,3,8,157.3,0.5,2340.5,333.5
204,-523.5,-1000.7,117.8,73,7,3,4,98.1,0.3,1308.6,326.2
205,-297.3,-1078.9,758.2,46,8,2,6,123.8,0.4,2033.9,327.8
206,-243.4,-1112.4,839.3,13,9,1,8,159.7,0.4,1510.9,408.4
207,-133.4,-1063.2,976.2,55,12,3,9,157.4,0.4,2431.7,377.2
208,-449.1,-894.3,455.6,22,12,1,11,139.0,0.3,2803.1,431.9
209,-529.9,-1093.7,416.4,31,10,2,8,135.6,0.4,1886.9,341.7
210,-175.2,-1118.0,1059.4,56,10,3,7,121.7,0.4,1394.2,339.4
211,-44.7,-801.4,267.2,39,9,2,7,176.5,0.4,2200.8,432.5
212,-442.5,-960.1,96.6,45,11,2,9,144.5,0.3,2695.4,454.5
213,-388.7,-1006.0,380.3,4,10,1,9,172.6,0.4,2442.3,408.8
214,-107.8,-974.6,761.9,70,9,1,8,174.2,0.5,1730.1,377.2
215,-136.3,-809.3,447.2,51,12,3,9,172.6,0.4,3119.5,487.0
216,-594.1,-1053.7,573.3,16,12,2,10,162.9,0.4,2481.4,432.6
217,-67.5,-802.4,820.5,52,9,2,7,112.9,0.3,1825.7,414.4
218,-666.8,-1080.6,431.0,59,8,2,6,197.9,0.5,2284.0,429.0
219,-662.5,-1102.1,194.5,6,9,3,6,123.7,0.3,2177.7,408.9
220,-744.4,-1082.8,148.5,6,9,2,7,197.1,0.4,2721.1,444.2
221,-87.8,-990.4,596.1,5,11,2,9,165.4,0.4,3165.5,468.5
222,-213.6,-863.9,386.8,20,9,2,7,179.7,0.4,2671.2,447.4
223,-91.8,-721.2,263.8,39,11,4,7,184.6,0.4,2996.2,418.4
224,-533.3,-1137.1,770.5,19,11,3,8,100.4,0.3,1586.4,317.8
225,-461.1,-1126.1,757.5,19,9,3,6,112.3,0.4,1594.6,309.9
226,-422.6,-1060.2,710.8,65,10,3,7,137.7,0.3,2649.0,447.6
227,-70.0,-1154.5,1494.3,21,10,4,6,157.7,0.4,2758.7,428.6
228,-32.9,-1050.4,1470.2,2,13,3,10,137.2,0.3,2804.7,421.1
229,-62.3,-887.2,546.4,25,7,2,5,114.0,0.3,1714.2,367.2
230,-28.3,-813.3,495.6,25,12,3,9,131.4,0.4,2389.7,370.6
231,-424.1,-949.1,501.9,22,10,2,8,165.3,0.4,2416.2,427.0
232,-29.7,-796.0,676.0,49,10,1,9,160.6,0.4,1985.6,428.6
233,-76.8,-754.7,690.5,49,11,2,9,98.4,0.2,2124.3,411.8
234,-68.7,-884.3,763.6,71,11,1,10,141.3,0.4,2175.8,372.7
235,-51.7,-1133.4,1506.1,21,12,2,9,147.8,0.3,2524.4,426.2
236,-110.5,-1143.7,1161.6,67,10,2,8,139.1,0.4,2266.7,366.0
237,-603.7,-1138.7,453.2,53,11,3,8,164.5,0.4,2534.8,414.4
238,-696.4,-1169.2,242.7,6,10,2,8,160.4,0.4,1574.7,422.4
239,-145.6,-1049.3,1448.1,9,12,1,11,166.6,0.4,2650.5,392.7
240,-52.1,-727.5,791.6,52,10,2,8,127.1,0.3,2021.6,377.9
241,-81.0,-942.6,988.1,29,10,2,8,114.7,0.3,1860.9,367.9
242,-70.0,-1029.4,1436.3,2,9,1,7,138.6,0.3,2091.1,487.2
243,-18.4,-741.1,791.5,52,11,3,8,179.4,0.4,2970.8,492.3
244,-783.6,-1143.5,235.1,57,11,3,8,176.6,0.4,2322.3,422.8
245,-531.8,-997.9,381.1,42,11,1,10,174.6,0.4,2723.3,422.1
246,-745.9,-1047.4,253.2,14,12,1,11,176.5,0.4,2832.7,437.2
247,-113.7,-763.2,726.7,49,9,2,6,166.5,0.4,1932.6,370.4
248,-725.3,-1065.7,45.2,50,11,2,9,145.9,0.4,1960.0,389.6
249,-108.0,-1066.8,1218.9,67,9,2,7,127.0,0.4,1894.3,340.3
250,-303.2,-874.9,457.4,23,10,1,9,168.9,0.4,2387.7,407.0
251,-592.8,-1205.6,632.4,16,10,1,9,133.8,0.3,2326.9,443.7
252,-82.9,-867.8,534.1,25,12,1,11,121.9,0.3,2295.7,380.8
253,-130.7,-886.8,394.9,54,9,1,8,148.7,0.4,2133.7,412.0
254,-104.8,-1085.5,1599.9,64,12,3,9,117.6,0.3,2606.7,366.8
255,-209.3,-1066.2,1136.2,3,10,3,7,138.3,0.4,1828.2,372.1
256,-26.6,-941.8,299.9,54,9,3,6,176.9,0.4,2328.5,466.0
257,-244.8,-1088.1,767.1,46,12,1,11,118.9,0.3,2693.1,393.8
258,-477.0,-970.6,488.1,22,8,4,4,140.5,0.4,1850.5,360.4
259,-81.5,-1114.3,1523.2,21,10,2,8,151.2,0.4,2798.6,420.5
260,-76.4,-984.9,663.4,5,10,2,8,185.6,0.5,2587.6,405.7
261,-237.5,-1037.9,957.6,61,11,3,8,129.9,0.3,2489.4,440.1
262,-527.1,-976.0,77.8,73,10,3,7,129.6,0.3,2482.1,395.9
263,-515.0,-967.0,390.6,42,11,2,9,176.8,0.4,2854.0,412.9
264,-431.4,-1100.9,811.6,65,8,1,7,104.9,0.3,2044.8,400.0
265,-99.6,-906.4,698.5,71,10,2,7,107.5,0.3,1513.6,307.7
266,-151.4,-1127.9,1534.6,28,10,3,7,163.2,0.4,2940.4,396.7
267,-505.7,-1169.5,688.6,19,9,1,8,178.2,0.4,2463.8,410.3
